nacin,velicinaNiza,brojNiti,trajanje
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,179
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,312
AVX2,200000,4,5
AVX2,200000,4,320
AVX2,200000,4,1040
Paralelno-Taskovi-medianOfThreePivot,200000,4,247
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,172
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,249
AVX2,200000,4,6
AVX2,200000,4,349
AVX2,200000,4,1086
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,1000,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,1000,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,1000,4,0
AVX2,1000,4,0
AVX2,1000,4,1
AVX2,1000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,237
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,233
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,235
AVX2,200000,4,9
AVX2,200000,4,341
AVX2,200000,4,1033
Paralelno-Taskovi-medianOfThreePivot,200000,4,223
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,134
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,92398
AVX2,200000,4,5
AVX2,200000,4,1102
AVX2,200000,4,1044
Paralelno-Taskovi-medianOfThreePivot,200000,4,246
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,138
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,88693
AVX2,200000,4,5
AVX2,200000,4,1057
AVX2,200000,4,1021
Paralelno-Taskovi-medianOfThreePivot,200000,4,241
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,132
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,94974
AVX2,200000,4,5
AVX2,200000,4,1056
AVX2,200000,4,1048
Paralelno-Taskovi-medianOfThreePivot,200000,4,231
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,135
AVX2,200000,4,6
AVX2,200000,4,285
AVX2,200000,4,1037
Paralelno-Taskovi-medianOfThreePivot,200000,4,237
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,124
AVX2,200000,4,6
AVX2,200000,4,283
AVX2,200000,4,1029
Paralelno-Taskovi-medianOfThreePivot,200000,4,232
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,122
AVX2,200000,4,6
AVX2,200000,4,285
Paralelno-Taskovi-medianOfThreePivot,200000,4,213
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,122
AVX2,200000,4,6
AVX2,200000,4,281
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,2
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
